category,placeholder_name,selected_title,page_url,target_filename,download_status,notes
Gameplay,sfx_tag_cycle_suspect,blink,https://pixabay.com/sound-effects/film-special-effects-blink-93025/,sfx_tag_cycle_suspect.mp3,,
Gameplay,sfx_tag_cycle_confirmed,Ding SFX,https://pixabay.com/sound-effects/technology-ding-sfx-472366/,sfx_tag_cycle_confirmed.mp3,,
Gameplay,sfx_chord,XP Gain Magic Tone,https://pixabay.com/sound-effects/technology-xp-gain-magic-tone-453274/,sfx_chord.mp3,,
Gameplay,sfx_invalid_action,UI sound,https://pixabay.com/sound-effects/film-special-effects-ui-sound-374228/,sfx_invalid_action.mp3,,
Outcomes,sfx_win_stinger,level win,https://pixabay.com/sound-effects/musical-level-win-6416/,sfx_win_stinger.mp3,,
Outcomes,sfx_loss_trigger,fail trumpet 2,https://pixabay.com/sound-effects/film-special-effects-fail-trumpet-02-383962/,sfx_loss_trigger.mp3,,
Outcomes,sfx_hazard_loss,breaking glaciers,https://pixabay.com/sound-effects/breaking-glaciers-454249/,sfx_hazard_loss.mp3,,
Outcomes,sfx_score_countup_tick,Ding,https://pixabay.com/sound-effects/film-special-effects-ding-402325/,sfx_score_countup_tick.mp3,,
Outcomes,sfx_star_award,Ding SFX,https://pixabay.com/sound-effects/technology-ding-sfx-472366/,sfx_star_award.mp3,,
Mechanics,sfx_fog_beacon_ping,Submarine Sonar,https://pixabay.com/sound-effects/film-special-effects-submarine-sonar-386154/,sfx_fog_beacon_ping.mp3,,
Mechanics,sfx_fog_reveal,Simple Whoosh,https://pixabay.com/sound-effects/film-special-effects-simple-whoosh-382724/,sfx_fog_reveal.mp3,,
Mechanics,sfx_conductor_pulse,XP Gain Magic Tone,https://pixabay.com/sound-effects/technology-xp-gain-magic-tone-453274/,sfx_conductor_pulse.mp3,,
Mechanics,sfx_linked_tile_ping,blink,https://pixabay.com/sound-effects/film-special-effects-blink-93025/,sfx_linked_tile_ping.mp3,,
Mechanics,sfx_locked_tile_unlock,Unlock stinger,https://pixabay.com/sound-effects/film-special-effects-unlock-stinger-289722/,sfx_locked_tile_unlock.mp3,,
Mechanics,sfx_inverted_signal_reveal,XP Gain Magic Tone,https://pixabay.com/sound-effects/technology-xp-gain-magic-tone-453274/,sfx_inverted_signal_reveal.mp3,,
Mechanics,sfx_sonar_pulse,Deepsea Sonar,https://pixabay.com/sound-effects/film-special-effects-deepsea-sonar-386156/,sfx_sonar_pulse.mp3,,
Mechanics,sfx_fading_signal_sink,Simple Whoosh,https://pixabay.com/sound-effects/film-special-effects-simple-whoosh-382724/,sfx_fading_signal_sink.mp3,,
Mechanics,sfx_fading_signal_resurface,blink,https://pixabay.com/sound-effects/film-special-effects-blink-93025/,sfx_fading_signal_resurface.mp3,,
Mechanics,sfx_casual_shield_trigger,XP Gain Magic Tone,https://pixabay.com/sound-effects/technology-xp-gain-magic-tone-453274/,sfx_casual_shield_trigger.mp3,,
Transitions,sfx_biome_unlock_banner,Unlock stinger,https://pixabay.com/sound-effects/film-special-effects-unlock-stinger-289722/,sfx_biome_unlock_banner.mp3,,
Transitions,sfx_map_pin_appear,Ding SFX,https://pixabay.com/sound-effects/technology-ding-sfx-472366/,sfx_map_pin_appear.mp3,,
Transitions,sfx_level_start,UI sound,https://pixabay.com/sound-effects/film-special-effects-ui-sound-374228/,sfx_level_start.mp3,,
Transitions,sfx_pause_open,UI Pop sound,https://pixabay.com/sound-effects/film-special-effects-ui-pop-sound-316482/,sfx_pause_open.mp3,,
Transitions,sfx_pause_close,UI sound,https://pixabay.com/sound-effects/film-special-effects-ui-sound-374228/,sfx_pause_close.mp3,,
